date,units,roll7_centered
2026-01-05,123,124
2026-01-06,118,127.6
2026-01-07,125,135.5
2026-01-08,130,140.14
2026-01-09,142,140.29
2026-01-10,175,140.86
2026-01-11,168,141.43
2026-01-12,124,142
2026-01-13,122,143
2026-01-14,129,143.57
2026-01-15,134,144.14
2026-01-16,149,144.71
2026-01-17,179,145.29
2026-01-18,172,145.86
2026-01-19,128,146.43
2026-01-20,126,146.57
2026-01-21,133,147.14
2026-01-22,138,147.71
2026-01-23,150,148.29
2026-01-24,183,149.29
2026-01-25,176,149.86
2026-01-26,132,150.43
2026-01-27,133,151
2026-01-28,137,151.57
2026-01-29,142,152.14
2026-01-30,154,152.71
2026-01-31,187,152.86
2026-02-01,180,153.43
2026-02-02,136,154
2026-02-03,134,154.57
2026-02-04,141,155.57
2026-02-05,146,156.14
2026-02-06,158,156.71
2026-02-07,194,157.29
2026-02-08,184,157.86
2026-02-09,140,158.43
2026-02-10,138,159
2026-02-11,145,159.14
2026-02-12,150,159.71
2026-02-13,162,163
2026-02-14,195,168
2026-02-15,188,173.75
