cohort_week,week_index,cohort_size,returned
2026-02-02,0,420,420
2026-02-02,1,420,168
2026-02-02,2,420,122
2026-02-02,3,420,101
2026-02-02,4,420,92
2026-02-09,0,455,455
2026-02-09,1,455,177
2026-02-09,2,455,132
2026-02-09,3,455,109
2026-02-09,4,455,0
2026-02-16,0,398,398
2026-02-16,1,398,159
2026-02-16,2,398,115
2026-02-16,3,398,0
2026-02-16,4,398,0
2026-02-23,0,441,441
2026-02-23,1,441,172
2026-02-23,2,441,0
2026-02-23,3,441,0
2026-02-23,4,441,0
2026-03-02,0,467,467
2026-03-02,1,467,181
2026-03-02,2,467,0
2026-03-02,3,467,0
2026-03-02,4,467,0
